Arguments;Attacks;PercentageIncomplete;Index;Runtime;PreprocessingTime;GroundingTime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
200;300;20;16;9,851263999938965;4,76837158203125e-07;0,37465596199035645;0;21;47;0,007378101348876953;Unstable
250;375;10;14;0,6176939010620117;2,384185791015625e-07;0,2797703742980957;0;0;35;0,006943941116333008;is_out(a0)
50;75;10;17;0,0466923713684082;4,76837158203125e-07;0,02872943878173828;0;2;6;0,0023398399353027344;Unstable
50;75;20;16;0,20067501068115234;2,384185791015625e-07;0,04506397247314453;0;26;8;0,00335693359375;Unstable
250;375;30;10;6,426488161087036;4,76837158203125e-07;1,011319637298584;0;0;92;0,009374141693115234;is_out(a0)
100;150;30;11;;;;1;;54;0,005255699157714844;Unstable
100;150;40;8;0,8784997463226318;4,76837158203125e-07;0,19831442832946777;0;0;76;0,005355119705200195;is_in(a0)
50;75;30;19;0,08027291297912598;4,76837158203125e-07;0,05532646179199219;0;0;0;0,0029420852661132812;is_in(a0)
250;375;30;11;2,1707918643951416;2,384185791015625e-07;1,035224437713623;0;0;0;0,010054588317871094;is_in(a0)
150;225;20;0;0,4592769145965576;2,384185791015625e-07;0,23064160346984863;0;0;0;0,0058269500732421875;is_out(a0)
250;375;40;0;2,708625555038452;1,430511474609375e-06;1,2818572521209717;0;0;0;0,010171651840209961;is_in(a0)
100;150;30;23;0,6947672367095947;4,76837158203125e-07;0,15453767776489258;0;2;15;0,004863739013671875;Unstable
200;300;20;2;1,104550838470459;2,384185791015625e-07;0,5507402420043945;0;0;49;0,007218837738037109;is_out(a0)
250;375;40;19;2,7336158752441406;2,384185791015625e-07;1,3035297393798828;0;0;0;0,009702444076538086;is_in(a0)
200;300;10;20;1,5585746765136719;4,76837158203125e-07;0,37973785400390625;0;10;35;0,006421804428100586;Unstable
200;300;30;13;1,4146292209625244;4,76837158203125e-07;0,7145514488220215;0;0;0;0,008823633193969727;is_in(a0)
150;225;20;3;0,6041040420532227;4,76837158203125e-07;0,4051094055175781;0;0;0;0,005811214447021484;is_in(a0)
50;75;10;16;0,042867183685302734;2,384185791015625e-07;0,030500173568725586;0;0;0;0,0027773380279541016;is_out(a0)
150;225;10;6;0,41061949729919434;2,384185791015625e-07;0,3190186023712158;0;0;0;0,005182027816772461;is_in(a0)
50;75;10;2;0,04331016540527344;4,76837158203125e-07;0,030670166015625;0;0;0;0,0025687217712402344;is_out(a0)
250;375;30;21;42,330612897872925;4,76837158203125e-07;0,8393542766571045;0;10;95;0,010067224502563477;Unstable
100;150;40;15;14,72763180732727;2,384185791015625e-07;0,21018266677856445;0;121;80;0,005506753921508789;Unstable
150;225;30;4;0,6659882068634033;4,76837158203125e-07;0,32651209831237793;0;0;0;0,006506443023681641;is_in(a0)
150;225;30;15;1,4373188018798828;2,384185791015625e-07;0,3258998394012451;0;2;2;0,0069561004638671875;Unstable
200;300;20;8;6,8560240268707275;2,384185791015625e-07;0,37714695930480957;0;10;66;0,007084846496582031;Unstable
200;300;20;21;0,7270362377166748;4,76837158203125e-07;0,37078094482421875;0;0;0;0,007288217544555664;is_in(a0)
200;300;40;16;;;;1;;114;0,009384870529174805;Unstable
250;375;10;12;1,8337750434875488;4,76837158203125e-07;0,29192471504211426;0;8;39;0,0070645809173583984;Unstable
50;75;10;8;0,04538583755493164;7,152557373046875e-07;0,031952619552612305;0;0;0;0,002686023712158203;is_in(a0)
100;150;20;0;0,2345423698425293;4,76837158203125e-07;0,1362895965576172;0;0;4;0,00468754768371582;is_in(a0)
150;225;20;2;0,4574611186981201;7,152557373046875e-07;0,2501864433288574;0;0;0;0,00606846809387207;is_in(a0)
100;150;30;4;7,518054008483887;2,384185791015625e-07;0,16570091247558594;0;53;60;0,0055463314056396484;Unstable
150;225;30;21;1,5716135501861572;2,384185791015625e-07;0,3413527011871338;0;2;1;0,0070037841796875;Unstable
250;375;30;23;;;;1;;122;0,009721755981445312;Unstable
100;150;20;3;0,5123612880706787;2,384185791015625e-07;0,13269639015197754;0;2;5;0,007560014724731445;Unstable
200;300;10;9;0,6507120132446289;4,76837158203125e-07;0,1988525390625;0;4;33;0,006191253662109375;Unstable
150;225;20;6;0,5008258819580078;7,152557373046875e-07;0,2283763885498047;0;0;44;0,005953073501586914;is_out(a0)
250;375;20;6;1,585705280303955;4,76837158203125e-07;0,5586686134338379;0;0;81;0,008435487747192383;is_out(a0)
150;225;30;6;0,6552414894104004;4,76837158203125e-07;0,3302338123321533;0;0;0;0,0067059993743896484;is_in(a0)
50;75;20;10;0,07441282272338867;4,76837158203125e-07;0,0514683723449707;0;0;0;0,003213167190551758;is_in(a0)
150;225;40;9;0,90505051612854;1,6689300537109375e-06;0,43736791610717773;0;0;0;0,007824182510375977;is_in(a0)
250;375;10;13;0,7593135833740234;4,76837158203125e-07;0,3003196716308594;0;0;31;0,0074160099029541016;is_out(a0)
250;375;40;1;;;;1;;114;0,012958049774169922;Unstable
50;75;20;20;0,0736532211303711;4,76837158203125e-07;0,04931902885437012;0;0;16;0,002895832061767578;is_out(a0)
250;375;40;18;;;;1;;162;0,01319742202758789;Unstable
250;375;10;5;0,630652666091919;4,76837158203125e-07;0,3009164333343506;0;0;35;0,00680088996887207;is_in(a0)
250;375;30;3;1,8528199195861816;4,76837158203125e-07;0,8614637851715088;0;0;0;0,010161876678466797;is_out(a0)
50;75;20;17;0,09369492530822754;2,384185791015625e-07;0,05389976501464844;0;0;21;0,0034520626068115234;is_in(a0)
100;150;30;24;2,7932145595550537;2,384185791015625e-07;0,16607165336608887;0;34;35;0,005213022232055664;Unstable
200;300;30;7;1,6598756313323975;4,76837158203125e-07;0,5778241157531738;0;0;1;0,008742332458496094;is_in(a0)
50;75;10;20;0,04747319221496582;2,384185791015625e-07;0,033454179763793945;0;0;7;0,0055010318756103516;is_out(a0)
100;150;10;4;0,14800095558166504;4,76837158203125e-07;0,09412193298339844;0;0;10;0,003935337066650391;is_out(a0)
250;375;30;5;;;;1;;101;0,010585784912109375;Unstable
250;375;30;22;1,9770214557647705;2,384185791015625e-07;0,8583226203918457;0;0;0;0,009757280349731445;is_in(a0)
50;75;40;6;22,144405841827393;4,76837158203125e-07;0,08584189414978027;0;137;36;0,004039764404296875;Unstable
