Arguments;Attacks;PercentageIncomplete;Index;Runtime;GroundingTime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
200;300;10;5;0,7555599212646484;0,32128071784973145;0;0;25;0,00803828239440918;is_out(a0)
200;300;10;6;0,6014761924743652;0,3220205307006836;0;0;0;0,00797891616821289;is_undec(a0)
200;300;10;7;1,095557689666748;0,33091282844543457;0;2;29;0,007978677749633789;Unstable
200;300;10;8;0,6008157730102539;0,3259549140930176;0;0;38;0,007979393005371094;is_out(a0)
200;300;10;9;0,5762794017791748;0,29790782928466797;0;0;21;0,007978677749633789;is_out(a0)
200;300;15;0;2,0411226749420166;0,4797379970550537;0;0;53;0,00809478759765625;is_in(a0)
200;300;15;1;1,1359670162200928;0,4587430953979492;0;0;46;0,008342266082763672;is_out(a0)
200;300;15;2;0,8496949672698975;0,47277235984802246;0;0;0;0,00797891616821289;is_out(a0)
200;300;15;3;5,0716071128845215;0,4557828903198242;0;14;50;0,009024858474731445;Unstable
200;300;15;4;1,845992088317871;0,5674822330474854;0;2;1;0,010942220687866211;Unstable
200;300;15;5;0,8467826843261719;0,46347951889038086;0;0;0;0,008942842483520508;is_in(a0)
200;300;15;6;1,0131449699401855;0,5737366676330566;0;0;0;0,010970592498779297;is_in(a0)
200;300;15;7;0,9967739582061768;0,5067908763885498;0;0;36;0,011968612670898438;is_out(a0)
200;300;15;8;2,7539408206939697;0,47089576721191406;0;8;39;0,008975982666015625;Unstable
200;300;15;9;1,031334400177002;0,5445456504821777;0;0;32;0,01143026351928711;is_out(a0)
200;300;20;0;6,111423492431641;0,6054902076721191;0;6;65;0,010095834732055664;Unstable
200;300;20;1;1,538790225982666;0,749852180480957;0;0;66;0,01293325424194336;is_out(a0)
200;300;20;2;6,135118722915649;0,5991599559783936;0;13;62;0,009940147399902344;Unstable
200;300;20;3;1,4814050197601318;0,6751954555511475;0;0;67;0,009940862655639648;is_out(a0)
200;300;20;4;7,014127254486084;1,0272533893585205;0;27;79;0,008937835693359375;Unstable
200;300;20;5;1,2286503314971924;0,7013828754425049;0;0;0;0,01293039321899414;is_in(a0)
200;300;20;6;1,242225170135498;0,6819219589233398;0;0;0;0,008976221084594727;is_out(a0)
200;300;20;7;3,0767788887023926;0,6850476264953613;0;2;59;0,009973526000976562;Unstable
200;300;20;8;1,7049479484558105;0,6801812648773193;0;0;53;0,009974479675292969;is_in(a0)
200;300;20;9;6,391902923583984;0,8442132472991943;0;23;60;0,021942138671875;Unstable
200;300;25;0;6,555271625518799;0,9016749858856201;0;10;70;0,014216899871826172;Unstable
200;300;25;1;6,517032861709595;0,8522908687591553;0;11;78;0,011937856674194336;Unstable
200;300;25;2;1,9401421546936035;0,8316636085510254;0;0;58;0,010428905487060547;is_out(a0)
200;300;25;3;6,529402732849121;0,8718006610870361;0;6;85;0,014994382858276367;Unstable
200;300;25;4;6,56567907333374;0,8583974838256836;0;6;80;0,012927770614624023;Unstable
200;300;25;5;2,0856997966766357;0,870673418045044;0;0;76;0,010970115661621094;is_out(a0)
200;300;25;6;2,0265800952911377;0,9005906581878662;0;0;59;0,013930082321166992;is_out(a0)
200;300;25;7;6,7506678104400635;1,0398752689361572;0;8;75;0,026927947998046875;Unstable
200;300;25;8;4,824613571166992;0,9075760841369629;0;2;1;0,014132261276245117;Unstable
200;300;25;9;6,478173732757568;0,8737781047821045;0;15;74;0,010970830917358398;Unstable
200;300;30;0;1,9214904308319092;1,1421985626220703;0;0;0;0,012988805770874023;is_in(a0)
200;300;30;1;5,345693111419678;1,0660991668701172;0;0;103;0,011984586715698242;is_out(a0)
