Arguments;Attacks;PercentageIncomplete;Index;Runtime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
10;15;10;5;0,008825302124023438;0;0;1;0,004197835922241211;True
5;7;40;0;0,011736154556274414;0;3;4;0,004370450973510742;False
15;22;30;4;0,027979373931884766;0;6;6;0,00464940071105957;False
5;7;20;24;0,007374286651611328;0;0;0;0,0034410953521728516;True
15;22;20;1;0,007684469223022461;0;0;0;0,003960847854614258;False
15;22;10;14;0,007530927658081055;0;0;2;0,004170656204223633;False
10;15;10;20;0,007369279861450195;0;0;0;0,0037283897399902344;False
5;7;30;2;0,006913661956787109;0;0;0;0,0034193992614746094;False
20;30;40;23;0,0077667236328125;0;0;0;0,003805398941040039;True
10;15;30;23;0,007345914840698242;0;0;0;0,003284454345703125;True
10;15;10;2;0,008088111877441406;0;0;1;0,004199504852294922;True
20;30;40;6;0,009047746658325195;0;0;0;0,0038123130798339844;True
10;15;30;24;0,0236358642578125;0;4;5;0,0042040348052978516;False
5;7;10;6;0,008804559707641602;0;0;0;0,004268646240234375;False
15;22;30;7;0,010055303573608398;0;0;0;0,005567073822021484;True
10;15;20;7;0,008888483047485352;0;0;0;0,0053920745849609375;True
10;15;10;11;0,008064746856689453;0;0;0;0,0050814151763916016;False
25;37;40;6;0,008492469787597656;0;0;7;0,005855560302734375;False
15;22;40;11;0,00786733627319336;0;1;1;0,003961324691772461;False
10;15;20;8;0,023009777069091797;0;1;5;0,005948543548583984;False
5;7;20;3;0,007805585861206055;0;1;1;0,003943204879760742;False
20;30;30;12;50,78892779350281;0;10;14;0,00585484504699707;False
10;15;40;11;0,007834911346435547;0;0;0;0,0037276744842529297;True
15;22;40;5;0,009305000305175781;0;2;2;0,004805803298950195;False
25;37;30;4;0,007990837097167969;0;0;0;0,0038595199584960938;True
15;22;40;15;8,436233282089233;0;3;12;0,0054471492767333984;False
15;22;40;16;0,008103609085083008;0;0;0;0,0038979053497314453;True
5;7;10;19;0,007592678070068359;0;0;0;0,0038924217224121094;False
20;30;40;0;1,0170328617095947;0;0;9;0,0043146610260009766;True
5;7;30;18;0,007628679275512695;0;0;0;0,003398895263671875;True
20;30;20;11;0,008017539978027344;0;0;1;0,004132270812988281;False
25;37;40;3;0,00808572769165039;0;0;0;0,005208015441894531;True
10;15;10;23;0,00742793083190918;0;1;1;0,0034902095794677734;False
25;37;30;11;0,0077326297760009766;0;0;0;0,0036194324493408203;True
20;30;10;18;0,007761716842651367;0;0;0;0,003544330596923828;True
25;37;30;9;;1;;15;0,006337642669677734;False
15;22;20;17;0,008215665817260742;0;0;0;0,0038750171661376953;True
20;30;10;11;0,008180379867553711;0;1;1;0,0042645931243896484;False
20;30;30;5;0,007691621780395508;0;0;0;0,003624439239501953;True
15;22;30;16;0,06797409057617188;0;2;6;0,004886627197265625;False
20;30;10;20;0,008864879608154297;0;0;3;0,0056378841400146484;False
25;37;30;22;0,008708715438842773;0;1;2;0,004372358322143555;False
20;30;10;14;0,008157014846801758;0;0;0;0,0047380924224853516;False
25;37;10;1;0,030716419219970703;0;1;5;0,006028175354003906;False
25;37;20;20;0,027179479598999023;0;5;8;0,00800466537475586;False
10;15;30;1;0,009337425231933594;0;0;0;0,0038297176361083984;True
15;22;10;19;0,008105278015136719;0;0;0;0,003161907196044922;True
10;15;10;19;0,007810831069946289;0;0;0;0,004220485687255859;False
10;15;30;10;0,008148670196533203;0;0;1;0,004141807556152344;True
10;15;30;13;0,008901357650756836;0;0;0;0,0036687850952148438;True
20;30;40;15;0,008428335189819336;0;2;2;0,004407167434692383;False
10;15;40;16;0,007742166519165039;0;0;0;0,0038535594940185547;False
10;15;20;5;0,007394313812255859;0;0;0;0,004025936126708984;True
25;37;10;3;0,007886648178100586;0;0;0;0,003654003143310547;False
20;30;20;12;0,007816076278686523;0;0;5;0,004257678985595703;False
20;30;30;1;6,499614000320435;0;10;13;0,0053174495697021484;False
25;37;20;0;0,00842428207397461;0;0;0;0,004444599151611328;True
15;22;20;8;0,008280038833618164;0;2;2;0,005339384078979492;False
25;37;10;15;0,008715152740478516;0;0;4;0,0057828426361083984;False
25;37;40;13;;1;;18;0,006612300872802734;False
25;37;20;7;0,7393572330474854;0;3;9;0,006615400314331055;False
20;30;10;6;0,008863687515258789;0;0;3;0,007413387298583984;False
15;22;10;8;0,008217096328735352;0;0;0;0,003827333450317383;True
10;15;10;8;0,009765625;0;0;2;0,003953695297241211;True
25;37;20;17;0,007410764694213867;0;0;0;0,003971099853515625;False
25;37;30;15;1,1344478130340576;0;0;9;0,004599094390869141;True
10;15;40;20;2,4386179447174072;0;0;10;0,004139900207519531;True
15;22;10;21;0,009343147277832031;0;1;1;0,009285926818847656;False
25;37;30;20;0,021050691604614258;0;1;5;0,0046367645263671875;False
20;30;20;22;0,008883953094482422;0;0;8;0,005884408950805664;False
20;30;20;14;0,04164242744445801;0;0;5;0,004351377487182617;True
15;22;10;24;0,008078336715698242;0;0;0;0,0039255619049072266;True
5;7;40;13;0,007653236389160156;0;0;0;0,0036783218383789062;True
15;22;30;13;0,008868217468261719;0;0;2;0,0037369728088378906;True
10;15;30;20;0,03580212593078613;0;0;5;0,009980440139770508;True
25;37;10;19;0,009081363677978516;0;0;0;0,0055081844329833984;False
15;22;10;15;0,00799703598022461;0;0;0;0,0049283504486083984;False
25;37;20;10;0,00892329216003418;0;0;6;0,006131172180175781;False
10;15;20;18;0,00856161117553711;0;0;1;0,0035343170166015625;True
15;22;40;14;0,009806394577026367;0;0;0;0,0035436153411865234;True
15;22;20;16;0,01928567886352539;0;4;5;0,006456851959228516;False
10;15;40;0;0,008416414260864258;0;1;2;0,004213809967041016;False
20;30;20;17;0,008043289184570312;0;0;1;0,004530668258666992;False
10;15;10;0;0,008170366287231445;0;0;2;0,004303932189941406;False
5;7;30;20;0,007270097732543945;0;0;1;0,004140615463256836;False
25;37;10;9;0,008948802947998047;0;0;5;0,005231142044067383;False
15;22;30;5;0,056960344314575195;0;3;6;0,004828691482543945;False
5;7;40;1;0,008591413497924805;0;0;4;0,004665851593017578;False
5;7;40;19;0,007983922958374023;0;0;3;0,004166126251220703;False
5;7;20;2;0,008440732955932617;0;0;2;0,0050356388092041016;False
20;30;10;5;0,020247220993041992;0;3;4;0,00506901741027832;False
5;7;10;10;0,00796055793762207;0;0;0;0,0035805702209472656;True
20;30;40;3;0,08524036407470703;0;0;6;0,0041882991790771484;True
20;30;10;23;0,016876697540283203;0;2;5;0,005064249038696289;False
5;7;20;23;0,008295774459838867;0;0;2;0,005263566970825195;False
5;7;20;0;0,010495901107788086;0;0;2;0,007073402404785156;True
25;37;20;1;0,013894319534301758;0;3;3;0,0075261592864990234;False
25;37;40;7;26,725913763046265;0;3;13;0,008455514907836914;False
25;37;10;22;0,008423089981079102;0;0;0;0,003773212432861328;True
5;7;30;3;0,008606910705566406;0;2;2;0,003732919692993164;False
5;7;40;4;0,007177114486694336;0;0;2;0,0037698745727539062;False
5;7;30;12;0,007180929183959961;0;0;0;0,0030319690704345703;True
25;37;40;22;;1;;19;0,006941080093383789;False
25;37;10;14;0,012461662292480469;0;1;3;0,005683422088623047;False
20;30;20;5;0,009059906005859375;0;0;8;0,005833148956298828;False
10;15;20;3;0,00763392448425293;0;0;2;0,00433802604675293;False
5;7;40;10;0,008002758026123047;0;0;1;0,004418373107910156;True
15;22;30;19;0,007473468780517578;0;0;0;0,0034308433532714844;False
10;15;10;15;0,007352590560913086;0;0;0;0,0034072399139404297;False
15;22;20;20;0,007573366165161133;0;0;0;0,003513336181640625;True
25;37;40;9;0,008158445358276367;0;1;1;0,004433631896972656;False
10;15;30;7;0,007578849792480469;0;0;2;0,003951311111450195;False
20;30;20;23;0,008437871932983398;0;0;8;0,0055789947509765625;False
15;22;10;7;0,007854461669921875;0;0;1;0,004578113555908203;False
20;30;10;12;0,008715629577636719;0;0;4;0,005643367767333984;False
15;22;10;23;0,007311344146728516;0;0;0;0,0036940574645996094;False
15;22;30;14;0,035715579986572266;0;3;7;0,008050918579101562;False
25;37;10;2;0,008801698684692383;0;0;0;0,0047321319580078125;True
15;22;40;19;0,0177004337310791;0;2;4;0,005253314971923828;False
25;37;40;11;1,8934907913208008;0;4;11;0,0074176788330078125;False
10;15;30;2;0,036211252212524414;0;0;5;0,007943391799926758;True
20;30;30;9;0,008956670761108398;0;0;13;0,005712032318115234;False
10;15;20;24;0,012986421585083008;0;5;4;0,0041620731353759766;False
5;7;20;12;0,007943868637084961;0;2;2;0,003726959228515625;False
20;30;20;1;0,00767970085144043;0;0;0;0,003707408905029297;False
15;22;20;13;0,10406684875488281;0;0;6;0,02244853973388672;True
10;15;40;13;0,01918959617614746;0;5;5;0,005197286605834961;False
20;30;30;13;0,010906219482421875;0;0;3;0,004812717437744141;False
10;15;10;10;0,008547067642211914;0;0;2;0,005426645278930664;False
25;37;10;0;0,008591175079345703;0;0;0;0,004151582717895508;True
10;15;30;8;0,0080413818359375;0;1;1;0,00370025634765625;False
20;30;10;0;0,008371829986572266;0;0;3;0,005025625228881836;False
5;7;20;14;0,007895469665527344;0;0;0;0,003203868865966797;False
