Arguments;Attacks;PercentageIncomplete;Index;Runtime;PreprocessingTime;GroundingTime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
100;150;10;15;0,13579416275024414;0,01590704917907715;0,04540705680847168;0;12;21;0,004345893859863281;Unstable
150;225;40;1;2,988309860229492;0,0228729248046875;0,13026905059814453;0;23;85;0,0063915252685546875;Unstable
10;15;40;21;0,01695728302001953;0,0027551651000976562;0,00562286376953125;0;20;8;0,0018270015716552734;Unstable
20;30;40;4;0,011622905731201172;0,002905130386352539;0,002689838409423828;0;0;2;0,002018451690673828;is_out(a0)
200;300;30;6;2,1576626300811768;0,0523982048034668;0,36049413681030273;0;2;124;0,0074193477630615234;is_in(a0)
5;7;20;6;0,011762619018554688;0,0024013519287109375;0,002987384796142578;0;0;1;0,0011036396026611328;is_undec(a0)
15;22;40;20;0,01987433433532715;0,003347158432006836;0,007211208343505859;0;8;8;0,0017995834350585938;Unstable
100;150;10;17;0,018470287322998047;0,009076833724975586;0,0026979446411132812;0;4;2;0,0033233165740966797;Unstable
200;300;40;24;0,04147458076477051;0,03078770637512207;0,0015263557434082031;0;0;0;0,008886098861694336;is_in(a0)
200;300;20;11;0,3164987564086914;0,0363461971282959;0,12201356887817383;0;0;55;0,0061800479888916016;is_out(a0)
250;375;30;16;0,4553334712982178;0,04166102409362793;0,10777926445007324;0;2;64;0,008606433868408203;is_in(a0)
50;75;10;18;0,013616323471069336;0,005170106887817383;0,00188446044921875;0;0;0;0,0023407936096191406;is_in(a0)
5;7;40;7;0,013012409210205078;0,0023109912872314453;0,004177093505859375;0;6;4;0,0014865398406982422;Unstable
25;37;10;23;0,01641082763671875;0,003618478775024414;0,0057566165924072266;0;2;3;0,001886606216430664;Unstable
50;75;20;6;0,05001258850097656;0,00530695915222168;0,021055936813354492;0;15;16;0,002682209014892578;Unstable
100;150;10;24;0,01934218406677246;0,010899782180786133;0,0017578601837158203;0;0;0;0,003708362579345703;is_in(a0)
20;30;40;7;0,03541064262390137;0,003289461135864258;0,013944625854492188;0;24;16;0,0020499229431152344;Unstable
25;37;40;15;0,0839986801147461;0,004525661468505859;0,02549886703491211;0;37;20;0,002805948257446289;Unstable
5;7;40;24;0,012773275375366211;0,002219676971435547;0,004342317581176758;0;2;3;0,0014643669128417969;Unstable
5;7;20;7;0,012279987335205078;0,0027120113372802734;0,003448963165283203;0;0;1;0,0013744831085205078;is_undec(a0)
25;37;20;6;0,014758825302124023;0,0034143924713134766;0,0036840438842773438;0;4;2;0,0030257701873779297;Unstable
15;22;10;16;0,013983726501464844;0,0030007362365722656;0,004334449768066406;0;0;2;0,0015854835510253906;is_in(a0)
150;225;10;22;0,07504916191101074;0,017601728439331055;0,03495287895202637;0;0;16;0,005083322525024414;is_in(a0)
5;7;40;11;0,01311492919921875;0,0023016929626464844;0,004193305969238281;0;2;4;0,001293182373046875;Unstable
25;37;40;19;0,017208099365234375;0,003240823745727539;0,005783557891845703;0;10;7;0,0024156570434570312;Unstable
150;225;30;22;0,6583764553070068;0,02367544174194336;0,13522768020629883;0;2;70;0,006052255630493164;Unstable
50;75;40;1;0,014763832092285156;0,006174564361572266;0,001722097396850586;0;0;0;0,003337860107421875;is_in(a0)
250;375;40;7;1,1657824516296387;0,05089378356933594;0,38500475883483887;0;0;148;0,010509252548217773;is_out(a0)
200;300;40;20;0,04186439514160156;0,03159666061401367;0,0014591217041015625;0;0;0;0,008348464965820312;is_in(a0)
200;300;30;11;0,0454716682434082;0,03475832939147949;0,001897573471069336;0;5;2;0,0071446895599365234;Unstable
50;75;30;6;0,01475834846496582;0,005810737609863281;0,0017843246459960938;0;0;0;0,003370523452758789;is_in(a0)
150;225;30;1;0,03437018394470215;0,024312257766723633;0,0015769004821777344;0;0;0;0,006680727005004883;is_in(a0)
20;30;30;2;0,011086702346801758;0,002680063247680664;0,0019345283508300781;0;0;0;0,0020058155059814453;is_in(a0)
50;75;20;5;0,01744532585144043;0,00418853759765625;0,005781412124633789;0;0;5;0,0025625228881835938;is_out(a0)
100;150;40;14;0,020025968551635742;0,010462760925292969;0,00164794921875;0;0;0;0,005321502685546875;is_in(a0)
250;375;20;11;0,685420036315918;0,052567243576049805;0,21276402473449707;0;0;74;0,008244514465332031;is_out(a0)
250;375;40;20;1,3946046829223633;0,052898406982421875;0,4315495491027832;0;0;152;0,009914636611938477;is_out(a0)
250;375;10;17;0,05458569526672363;0,0458827018737793;0,0025069713592529297;0;2;2;0,006755352020263672;is_in(a0)
150;225;10;11;0,028756380081176758;0,02053236961364746;0,002658843994140625;0;0;1;0,00492548942565918;is_in(a0)
150;225;20;17;2,092121124267578;0,02305459976196289;0,10489010810852051;0;44;56;0,005899667739868164;Unstable
100;150;40;5;0,021850109100341797;0,011933565139770508;0,001987934112548828;0;2;1;0,005497932434082031;Unstable
15;22;30;21;0,012287139892578125;0,002823352813720703;0,0030007362365722656;0;2;1;0,0018897056579589844;Unstable
15;22;10;10;0,015009641647338867;0,003068208694458008;0,0054569244384765625;0;0;3;0,001653432846069336;is_out(a0)
10;15;10;17;0,011171579360961914;0,0025398731231689453;0,002794027328491211;0;2;1;0,0015730857849121094;Unstable
15;22;30;12;0,018728971481323242;0,0030083656311035156;0,008086681365966797;0;0;8;0,0016810894012451172;is_undec(a0)
250;375;20;21;0,6600759029388428;0,054682016372680664;0,19119787216186523;0;2;68;0,008620023727416992;Unstable
20;30;20;24;0,018911123275756836;0,0035657882690429688;0,006918430328369141;0;5;6;0,0020589828491210938;Unstable
10;15;20;20;0,010599613189697266;0,0026047229766845703;0,0023102760314941406;0;0;0;0,0013532638549804688;is_out(a0)
250;375;20;1;0,06452012062072754;0,04573178291320801;0,00813150405883789;0;0;7;0,007863044738769531;is_out(a0)
200;300;40;15;;;;1;;121;0,008353471755981445;Unstable
25;37;30;13;0,023445844650268555;0,003630399703979492;0,009848833084106445;0;5;9;0,0021865367889404297;Unstable
15;22;10;2;0,012778282165527344;0,00311279296875;0,0035653114318847656;0;0;1;0,0014972686767578125;is_undec(a0)
25;37;10;8;0,011658668518066406;0,0035867691040039062;0,002214193344116211;0;0;0;0,0017590522766113281;is_in(a0)
25;37;20;19;0,020989656448364258;0,0035839080810546875;0,008257627487182617;0;14;7;0,0023148059844970703;Unstable
25;37;30;1;0,018501996994018555;0,0036096572875976562;0,006093025207519531;0;0;4;0,003186464309692383;is_out(a0)
25;37;40;5;0,0127410888671875;0,0030260086059570312;0,0032007694244384766;0;2;2;0,002543210983276367;is_out(a0)
20;30;40;1;0,06150937080383301;0,003713846206665039;0,017375946044921875;0;40;15;0,0021789073944091797;Unstable
25;37;20;9;0,02509617805480957;0,0036575794219970703;0,011456727981567383;0;8;8;0,0020017623901367188;Unstable
50;75;30;15;0,01446390151977539;0,005618572235107422;0,0019459724426269531;0;0;0;0,0032875537872314453;is_in(a0)
100;150;40;9;4,838740110397339;0,013827085494995117;0,0805349349975586;0;164;53;0,0058171749114990234;Unstable
20;30;20;7;0,02069234848022461;0,0032012462615966797;0,008954763412475586;0;0;8;0,0020897388458251953;is_out(a0)
20;30;10;24;0,011345148086547852;0,0031120777130126953;0,0022754669189453125;0;0;0;0,0019214153289794922;is_undec(a0)
150;225;40;13;0,0290830135345459;0,01914048194885254;0,0016906261444091797;0;0;0;0,006649494171142578;is_in(a0)
200;300;20;6;0,053151845932006836;0,039292097091674805;0,0038378238677978516;0;6;3;0,007117271423339844;Unstable
5;7;20;15;0,01114964485168457;0,0024559497833251953;0,002129793167114258;0;0;0;0,001163482666015625;is_undec(a0)
200;300;40;22;1,1866271495819092;0,046025753021240234;0,37687158584594727;0;0;142;0,008675813674926758;is_out(a0)
150;225;40;21;0,03325939178466797;0,02237081527709961;0,0023009777069091797;0;0;2;0,006833791732788086;is_out(a0)
150;225;10;15;0,028640270233154297;0,018834352493286133;0,0018367767333984375;0;0;0;0,004837751388549805;is_in(a0)
50;75;20;12;0,04110240936279297;0,005704164505004883;0,020423173904418945;0;2;13;0,003856658935546875;Unstable
100;150;30;18;2,4171268939971924;0,016385555267333984;0,09929585456848145;0;55;56;0,0051534175872802734;Unstable
50;75;40;17;3,854931592941284;0,006513118743896484;0,04494190216064453;0;187;38;0,003615140914916992;Unstable
15;22;20;12;0,011011600494384766;0,0025625228881835938;0,0022554397583007812;0;0;0;0,0017828941345214844;is_undec(a0)
5;7;20;21;0,010586023330688477;0,002187013626098633;0,0022840499877929688;0;0;0;0,0013744831085205078;is_in(a0)
250;375;30;12;8,512589931488037;0,048209190368652344;0,3410618305206299;0;8;118;0,00910043716430664;Unstable
150;225;10;10;0,03217768669128418;0,022156238555908203;0,0024590492248535156;0;2;1;0,004602193832397461;Unstable
10;15;30;12;0,01739048957824707;0,0026619434356689453;0,006806135177612305;0;6;6;0,0015788078308105469;Unstable
